#,NOME,DESCRIÇÃO,LINK,ORIGEM,SECRETARIA / RESPONSÁVEL,SIA+?,DOMÍNIO TEMÁTICO,PÚBLICO-ALVO,PRIVACIDADE,MODELO BASE UTILIZADO,VERSÃO DO MODELO,Temperatura (nível de criatividade),FORMATO DA ENTRADA,FORMATO DA RESPOSTA,DATA DISPONIBILIZAÇÃO,Estratégia de resposta (ex: só com base na base de conhecimento? Pode usar internet?),BASE DE CONHECIMENTO UTILIZADA,DOCUMENTAÇÃO
5,BADESPI TECH - IA Sob Medida,"IA personalizada para a análise de cada cliente. Simplicidade, escabilidade e segurança. Análise preditiva, automação, análise personalizada",,CAPACITIA (ALUNOS),BADESPI,FALSE,,,,,,,,,,,,Baixar
6,BadespIA,"É um assistente virtual desenvolvido para atuar como fonte confiável de informação sobre normas, procedimentos e diretrizes internas da BADESPI. OBJETIVO: Facilitar o acesso às informações internas da BADESPI de forma rápida e eficiente. Garantir respostas confiáveis baseadas em documentos oficiais da instituição.",,CAPACITIA (ALUNOS),BADESPI,FALSE,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
9,"BADESPI Mais Inteligente: Atendimento Virtual para o Futuro 
BADESPI Responde","Uma solução inovadora para modernizar o atendimento. Impulsiona a eficiência, servindo você melhor.
FAQ acessível com respostas instantâneas. Dúvidas comuns solucionadas em segundos. Serviços e consultas agendados online. Elimina a espera e otimiza o tempo. Disponível a qualquer hora para ajudar. Garante assistência contínua aos clientes.",,CAPACITIA (ALUNOS),BADESPI,FALSE,,,,,,,,,,,,Baixar
56,Projeto de Implantação de Agentes de IA e Chatbots na Coordenadoria de Enfrentamento às Drogas do Piauí,"Agendamento ágil de consultas e suporte inicial.
Monitoramento das Comunidades Terapeuticas para detectar padrões de acolhimentos.
Antecipação de crises para direcionar recursos eficazmente.
Integração de múltiplos canais de atendimento com alta disponibilidade.",,CAPACITIA (ALUNOS),CENDFOL,,SAÚDE / ASSISTENCIA SOCIAL,Gestão Pública,,,,,,,,,,Baixar
40,Solução de IA para Gestão e Controle de Saldo Contratual,"OBJETIVO: Criar um assistente de IA que automatize a análise de faturas, extraindo informações relevantes e gerando planilhas prontas para uso.
Análise automática, Relatórios dinâmicos e Personalizados, Foco em Transparência e Controle, Fácil Acesso e Escalabilidade",,CAPACITIA (ALUNOS),DSEG/GAMIL-PI,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
41,Assistente Virtual de Planejamento de Missões de Segurança,"Este projeto revolucionário visa transformar a maneira como as equipes de segurança planejam e executam missões para autoridades durante agendas oficiais. 
OBJETIVO: Desenvolver um assistente virtual inteligente para otimizar o planejamento e execução de missões de segurança.",,CAPACITIA (ALUNOS),DSEG/GAMIL-PI,,SEGURANÇA PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
15,CIRIUS - Seu Assistente Virtual,"Conheça o CIRIUS, a inovação em assistência pessoal inteligente da FAPEPI. Facilite o acesso aos serviços oferecidos de forma rápida e acessível. Desenvolvido para a comunidade acadêmica: estudantes, pesquisadores, professores, ICTs e parceiros em inovação e tecnologia.
Possui reconhecimento de voz avançado e realiza pesquisas na web. As consultas são em tempo real.",,CAPACITIA (ALUNOS),FAPEPI,FALSE,,,,,,,,,,,,Baixar
17,UAPEPI: Atendimento Inteligente com IA,"Apresentamos o UAPEPI, um assistente virtual impulsionado por IA, projetado para bolsistas da UAPI. Esta inovação visa otimizar o atendimento e modernizar os serviços oferecidos pela FAPEPI e UAPI.",,CAPACITIA (ALUNOS),FAPEPI,FALSE,,,,,,,,,,,,Baixar
60,IARA: SUA ASSISTENTE VIRTUAL PARA REGULARIZAÇÃO FUNDIÁRIA,"Iara - IA de regularização agrária, é a inteligência artificial do Interpi que simplifica a regularização fundiária.
FUNCIONALIDADES PRINCIPAIS DA IARA:
Guiada para facilitar o preenchimento e avanço.
Explica CAR, KML, RG e outros documentos necessários.
CONSULTA POR NÚMERO SEI: Permite acompanhamento fácil e rápido dos processos.
Verifica se a regularização é viável antes do envio.",,CAPACITIA (ALUNOS),INTERPI,,,Cidadão,,,,,,,,,,Baixar
4,Acompanhamento de Status de Processos no SEI: Uma Nova Abordagem,"Uma nova ferramenta para acompanhar processos no SEI. O foco é a eficiência e facilidade de uso. A integração com chatbot permite identificação e acesso rápido. Usuários gastam tempo rastreando processos, e a solução visa reduzir esse tempo significativamente.",,CAPACITIA (ALUNOS),INVESTE PIAUÍ,FALSE,ADMINISTRAÇÃO PÚBLICA,,,,,,,,,,,Baixar
